"...1","Monthly Nominal GDP Index","Monthly Real GDP Index"
"1992 - Jan",6315.72465742047,10177.835177296
"1992 - Feb",6356.50426159535,10222.9131133564
"1992 - Mar",6417.07708098641,10307.9566249804
"1992 - Apr",6443.25704638207,10314.3165485293
"1992 - May",6433.80994054327,10293.4814866424
"1992 - Jun",6535.22201306926,10433.8266885267
"1992 - Jul",6557.30368456151,10451.3367552672
"1992 - Aug",6556.89572779887,10431.1762833713
"1992 - Sep",6585.72358763704,10465.878529605
"1992 - Oct",6637.24047009636,10525.0000195923
"1992 - Nov",6680.23178278983,10555.4630657719
"1992 - Dec",6724.93674711015,10594.7211058328
"1993 - Jan",6718.50918801788,10578.4861189877
"1993 - Feb",6741.42882766873,10594.4783998592
"1993 - Mar",6728.43898431153,10555.0596143005
"1993 - Apr",6767.89079051151,10596.2706865399
"1993 - May",6824.30310483484,10659.3694041646
"1993 - Jun",6834.62310465614,10657.0484351039
"1993 - Jul",6832.66508538312,10631.6065168878
"1993 - Aug",6874.14751617516,10675.0194597796
"1993 - Sep",6939.48139844414,10758.3225489268
"1993 - Oct",6944.53633621348,10753.3919984297
"1993 - Nov",7035.942466065,10860.5502289878
"1993 - Dec",7060.73519772192,10887.1860299591
"1994 - Jan",7074.38790640892,10886.2468323798
"1994 - Feb",7122.90443736593,10947.6350832652
"1994 - Mar",7149.66365623005,10982.6394174387
"1994 - Apr",7186.46599123827,11019.1527864019
"1994 - May",7290.06659941437,11127.6217756533
"1994 - Jun",7264.26040934322,11114.4220759388
"1994 - Jul",7299.32487929245,11118.4960335291
"1994 - Aug",7351.54472154718,11193.5996046926
"1994 - Sep",7342.35539916118,11143.7296518396
"1994 - Oct",7429.17351160486,11246.9960224916
"1994 - Nov",7431.64199093974,11239.4463935477
"1994 - Dec",7505.04849746052,11352.9799139165
"1995 - Jan",7542.29585522527,11356.5666568987
"1995 - Feb",7488.43974040803,11272.20857527
"1995 - Mar",7536.13140436367,11331.0194974868
"1995 - Apr",7539.26556821877,11297.4103890531
"1995 - May",7560.69345288846,11327.5808597326
"1995 - Jun",7643.03197889296,11436.5883633575
"1995 - Jul",7630.44026483406,11379.8836912299
